Sourcekey,WGFUPUS2,WKJUPUS2
15-Sep-06,9229,1537
22-Sep-06,9287,1689
29-Sep-06,9081,1570
06-Oct-06,9242,1734
13-Oct-06,9298,1727
20-Oct-06,9511,1763
27-Oct-06,9499,1622
03-Nov-06,9256,1580
10-Nov-06,9110,1878
17-Nov-06,9149,1453
24-Nov-06,9320,1614
01-Dec-06,9477,1494
08-Dec-06,9394,1621
15-Dec-06,9491,1533
22-Dec-06,9229,1781
29-Dec-06,9247,1517
05-Jan-07,9201,1461
12-Jan-07,9060,1796
19-Jan-07,9008,1589
26-Jan-07,9090,1591
02-Feb-07,9136,1526
09-Feb-07,9061,1764
16-Feb-07,9198,1601
23-Feb-07,9121,1532
02-Mar-07,9191,1569
09-Mar-07,9158,1775
16-Mar-07,9240,1619
23-Mar-07,9250,1518
30-Mar-07,9491,1590
06-Apr-07,9472,1546
13-Apr-07,9247,1664
20-Apr-07,9163,1569
27-Apr-07,9260,1645
04-May-07,9344,1632
11-May-07,9404,1696
18-May-07,9433,1590
25-May-07,9485,1655
01-Jun-07,9495,1684
08-Jun-07,9487,1592
15-Jun-07,9591,1731
22-Jun-07,9575,1726
29-Jun-07,9557,1646
06-Jul-07,9663,1672
13-Jul-07,9710,1631
20-Jul-07,9688,1643
27-Jul-07,9662,1608
03-Aug-07,9575,1598
10-Aug-07,9572,1620
17-Aug-07,9762,1641
24-Aug-07,9626,1552
31-Aug-07,9577,1812
07-Sep-07,9393,1513
14-Sep-07,9247,1598
21-Sep-07,9235,1592
28-Sep-07,9120,1555
05-Oct-07,9200,1521
12-Oct-07,9253,1573
19-Oct-07,9373,1561
26-Oct-07,9355,1592
02-Nov-07,9367,1618
09-Nov-07,9187,1641
16-Nov-07,9222,1834
23-Nov-07,9356,1587
30-Nov-07,9266,1520
07-Dec-07,9348,1670
14-Dec-07,9287,1610
21-Dec-07,9446,1578
28-Dec-07,9286,1590
04-Jan-08,9304,1539
11-Jan-08,9116,1584
18-Jan-08,8964,1514
25-Jan-08,8940,1521
01-Feb-08,8916,1569
08-Feb-08,9020,1547
15-Feb-08,9125,1642
22-Feb-08,9045,1527
29-Feb-08,9071,1524
07-Mar-08,9131,1755
14-Mar-08,9071,1575
21-Mar-08,9116,1556
28-Mar-08,9330,1565
04-Apr-08,9286,1534
11-Apr-08,9338,1503
18-Apr-08,9215,1764
25-Apr-08,9189,1473
02-May-08,9311,1474
09-May-08,9343,1503
16-May-08,9359,1709
23-May-08,9373,1614
30-May-08,9129,1651
06-Jun-08,9411,1536
13-Jun-08,9251,1608
20-Jun-08,9334,1545
27-Jun-08,9357,1704
04-Jul-08,9347,1634
11-Jul-08,9344,1731
18-Jul-08,9342,1421
25-Jul-08,9468,1424
01-Aug-08,9484,1617
08-Aug-08,9446,1674
15-Aug-08,9423,1605
22-Aug-08,9411,1406
29-Aug-08,9424,1493
05-Sep-08,9090,1702
12-Sep-08,8907,1448
19-Sep-08,8741,1447
26-Sep-08,8730,1509
03-Oct-08,8691,1418
10-Oct-08,8894,1495
17-Oct-08,9065,1364
24-Oct-08,9057,1349
31-Oct-08,9095,1299
07-Nov-08,9002,1275
14-Nov-08,8962,1239
21-Nov-08,8844,1492
28-Nov-08,8933,1327
05-Dec-08,9015,1270
12-Dec-08,9175,1520
19-Dec-08,8867,1542
26-Dec-08,9106,1282
02-Jan-09,8990,1482
09-Jan-09,8758,1343
16-Jan-09,8641,1316
23-Jan-09,8650,1441
30-Jan-09,9015,1276
06-Feb-09,9006,1212
13-Feb-09,8908,1278
20-Feb-09,9010,1446
27-Feb-09,9204,1287
06-Mar-09,8972,1385
13-Mar-09,8955,1624
20-Mar-09,9100,1527
27-Mar-09,9125,1485
03-Apr-09,9024,1387
10-Apr-09,8944,1381
17-Apr-09,9136,1433
24-Apr-09,9151,1378
01-May-09,8923,1435
08-May-09,8911,1441
15-May-09,9232,1490
22-May-09,9538,1344
29-May-09,9020,1248
05-Jun-09,9141,1290
12-Jun-09,9354,1407
19-Jun-09,9129,1498
26-Jun-09,9053,1308
03-Jul-09,9229,1292
10-Jul-09,9163,1449
17-Jul-09,9255,1381
24-Jul-09,9171,1333
31-Jul-09,9199,1380
07-Aug-09,8951,1457
14-Aug-09,9205,1383
21-Aug-09,9105,1497
28-Aug-09,9478,1418
04-Sep-09,9283,1547
11-Sep-09,9001,1482
18-Sep-09,8790,1358
25-Sep-09,9126,1442
02-Oct-09,9269,1425
09-Oct-09,9256,1416
16-Oct-09,8950,1313
23-Oct-09,8858,1281
30-Oct-09,9015,1482
06-Nov-09,8844,1381
13-Nov-09,9015,1399
20-Nov-09,9092,1562
27-Nov-09,8943,1418
04-Dec-09,9012,1320
11-Dec-09,8963,1660
18-Dec-09,9045,1458
25-Dec-09,9074,1378
01-Jan-10,8741,1540
08-Jan-10,8740,1344
15-Jan-10,8602,1236
22-Jan-10,8619,1430
29-Jan-10,8613,1430
05-Feb-10,8766,1393
12-Feb-10,8521,1225
19-Feb-10,9064,1235
26-Feb-10,8882,1313
05-Mar-10,8992,1302
12-Mar-10,8849,1304
19-Mar-10,9087,1339
26-Mar-10,9060,1529
02-Apr-10,9076,1374
09-Apr-10,9325,1378
16-Apr-10,9152,1427
23-Apr-10,9290,1304
30-Apr-10,9282,1524
07-May-10,9140,1471
14-May-10,9092,1471
21-May-10,9099,1387
28-May-10,9174,1468
04-Jun-10,9194,1334
11-Jun-10,9338,1284
18-Jun-10,9241,1314
25-Jun-10,9462,1473
02-Jul-10,9449,1404
09-Jul-10,9080,1580
16-Jul-10,9435,1568
23-Jul-10,9632,1513
30-Jul-10,9477,1449
06-Aug-10,9236,1593
13-Aug-10,9459,1401
20-Aug-10,9375,1441
27-Aug-10,9386,1414
03-Sep-10,9263,1539
10-Sep-10,9019,1492
17-Sep-10,8847,1497
24-Sep-10,9383,1370
01-Oct-10,8989,1441
08-Oct-10,8812,1430
15-Oct-10,8891,1257
22-Oct-10,9358,1354
29-Oct-10,9015,1461
05-Nov-10,9056,1311
12-Nov-10,8952,1500
19-Nov-10,8829,1476
26-Nov-10,8867,1265
03-Dec-10,9171,1352
10-Dec-10,9349,1636
17-Dec-10,9213,1397
24-Dec-10,9399,1439
31-Dec-10,8853,1376
07-Jan-11,8819,1487
14-Jan-11,8775,1450
21-Jan-11,8632,1350
28-Jan-11,8549,1311
04-Feb-11,8524,1465
11-Feb-11,8810,1428
18-Feb-11,9101,1445
25-Feb-11,9162,1259
04-Mar-11,9192,1280
11-Mar-11,8830,1406
18-Mar-11,9074,1530
25-Mar-11,8866,1291
01-Apr-11,8853,1349
08-Apr-11,9181,1360
15-Apr-11,9062,1439
22-Apr-11,9148,1575
29-Apr-11,8943,1474
06-May-11,8826,1335
13-May-11,9048,1510
20-May-11,9025,1480
27-May-11,9431,1321
03-Jun-11,9163,1419
10-Jun-11,9370,1258
17-Jun-11,9319,1517
24-Jun-11,9261,1394
01-Jul-11,9309,1551
08-Jul-11,9016,1390
15-Jul-11,9028,1581
22-Jul-11,8999,1564
29-Jul-11,9215,1537
05-Aug-11,9244,1592
12-Aug-11,9195,1495
19-Aug-11,9009,1613
26-Aug-11,9229,1462
02-Sep-11,8956,1502
09-Sep-11,8848,1454
16-Sep-11,8858,1328
23-Sep-11,8964,1421
30-Sep-11,8959,1426
07-Oct-11,9010,1455
14-Oct-11,8598,1402
21-Oct-11,8501,1363
28-Oct-11,8518,1445
04-Nov-11,8671,1526
11-Nov-11,8625,1589
18-Nov-11,8592,1386
25-Nov-11,8769,1410
02-Dec-11,8574,1381
09-Dec-11,8666,1406
16-Dec-11,8879,1426
23-Dec-11,8923,1426
30-Dec-11,8556,1361
06-Jan-12,8179,1407
13-Jan-12,7996,1238
20-Jan-12,8098,1517
27-Jan-12,8018,1207
03-Feb-12,8039,1361
10-Feb-12,8167,1351
17-Feb-12,8628,1215
24-Feb-12,8363,1475
02-Mar-12,8262,1540
09-Mar-12,8415,1225
16-Mar-12,8379,1292
23-Mar-12,8710,1267
30-Mar-12,8783,1536
06-Apr-12,8681,1429
13-Apr-12,8775,1407
20-Apr-12,8496,1326
27-Apr-12,8692,1326
04-May-12,8864,1332
11-May-12,8971,1427
18-May-12,8633,1476
25-May-12,8931,1369
01-Jun-12,8648,1379
08-Jun-12,9130,1645
15-Jun-12,8693,1533
22-Jun-12,8846,1583
29-Jun-12,9001,1593
06-Jul-12,8917,1458
13-Jul-12,8628,1597
20-Jul-12,8660,1264
27-Jul-12,8820,1502
03-Aug-12,8839,1685
10-Aug-12,9308,1496
17-Aug-12,9081,1388
24-Aug-12,9064,1360
31-Aug-12,9177,1464
07-Sep-12,8695,1553
14-Sep-12,8632,1345
21-Sep-12,8770,1331
28-Sep-12,8633,1493
05-Oct-12,8587,1409
12-Oct-12,8729,1605
19-Oct-12,8493,1541
26-Oct-12,8844,1290
02-Nov-12,8307,1523
09-Nov-12,8908,1456
16-Nov-12,8898,1267
23-Nov-12,8427,1465
30-Nov-12,8354,1509
07-Dec-12,8488,1487
14-Dec-12,8618,1486
21-Dec-12,8608,1453
28-Dec-12,8518,1343
04-Jan-13,8010,1402
11-Jan-13,8320,1292
18-Jan-13,8431,1357
25-Jan-13,8501,1366
01-Feb-13,8415,1432
08-Feb-13,8404,1401
15-Feb-13,8437,1263
22-Feb-13,8597,1289
01-Mar-13,8364,1288
08-Mar-13,8627,1434
15-Mar-13,8324,1394
22-Mar-13,8399,1312
29-Mar-13,8523,1318
05-Apr-13,8477,1358
12-Apr-13,8383,1256
19-Apr-13,8750,1594
26-Apr-13,8415,1365
03-May-13,8445,1472
10-May-13,8341,1623
17-May-13,8790,1445
24-May-13,8956,1381
31-May-13,8822,1488
07-Jun-13,8648,1235
14-Jun-13,8840,1623
21-Jun-13,8894,1466
28-Jun-13,9294,1630
05-Jul-13,9299,1626
12-Jul-13,8729,1593
19-Jul-13,8982,1575
26-Jul-13,9147,1523
02-Aug-13,9246,1453
09-Aug-13,9190,1679
16-Aug-13,9200,1589
23-Aug-13,9031,1524
30-Aug-13,9094,1404
06-Sep-13,8605,1642
13-Sep-13,9028,1403
20-Sep-13,8846,1357
27-Sep-13,8527,1531
04-Oct-13,8846,1211
11-Oct-13,9077,1369
18-Oct-13,8797,1348
25-Oct-13,9054,1671
01-Nov-13,9292,1233
08-Nov-13,9032,1561
15-Nov-13,8924,1504
22-Nov-13,8909,1683
29-Nov-13,8873,1408
06-Dec-13,8348,1480
13-Dec-13,9016,1469
20-Dec-13,9176,1656
27-Dec-13,8893,1470
03-Jan-14,8274,1518
10-Jan-14,8021,1498
17-Jan-14,8059,1308
24-Jan-14,8584,1464
31-Jan-14,8452,1479
07-Feb-14,8325,1302
14-Feb-14,8030,1283
21-Feb-14,8535,1224
28-Feb-14,8411,1431
07-Mar-14,8949,1518
14-Mar-14,8512,1355
21-Mar-14,9002,1329
28-Mar-14,8713,1592
04-Apr-14,8996,1370
11-Apr-14,8616,1340
18-Apr-14,8430,1365
25-Apr-14,8693,1604
02-May-14,8719,1333
09-May-14,9191,1429
16-May-14,9174,1524
23-May-14,9310,1540
30-May-14,9104,1390
06-Jun-14,8624,1401
13-Jun-14,9258,1575
20-Jun-14,8813,1692
27-Jun-14,9168,1663
04-Jul-14,8935,1799
11-Jul-14,9057,1512
18-Jul-14,8792,1514
25-Jul-14,9006,1871
01-Aug-14,9359,1704
08-Aug-14,8922,1538
15-Aug-14,8775,1442
22-Aug-14,9100,1692
29-Aug-14,9480,1607
05-Sep-14,8611,1417
12-Sep-14,8707,1582
19-Sep-14,8781,1399
26-Sep-14,8660,1381
03-Oct-14,8645,1442
10-Oct-14,9043,1484
17-Oct-14,8836,1440
24-Oct-14,8867,1691
31-Oct-14,9162,1510
07-Nov-14,9005,1563
14-Nov-14,9194,1486
21-Nov-14,9254,1584
28-Nov-14,9425,1519
05-Dec-14,8549,1487
12-Dec-14,9373,1519
19-Dec-14,9518,1746
26-Dec-14,9614,1480
02-Jan-15,8809,1527
09-Jan-15,8875,1553
16-Jan-15,8851,1674
23-Jan-15,9022,1484
30-Jan-15,8442,1294
06-Feb-15,8282,1450
13-Feb-15,8809,1528
20-Feb-15,8915,1410
27-Feb-15,8630,1528
06-Mar-15,8515,1563
13-Mar-15,9260,1463
20-Mar-15,8619,1512
27-Mar-15,9435,1597
03-Apr-15,8610,1522
10-Apr-15,8914,1602
17-Apr-15,9185,1636
24-Apr-15,8920,1597
01-May-15,8785,1505
08-May-15,9201,1511
15-May-15,9261,1662
22-May-15,9734,1440
29-May-15,8978,1729
05-Jun-15,9600,1535
12-Jun-15,9176,1494
19-Jun-15,9655,1748
26-Jun-15,9731,1543
03-Jul-15,9532,1509
10-Jul-15,9404,1553
17-Jul-15,9749,1713
24-Jul-15,9339,1711
31-Jul-15,9687,1730
07-Aug-15,9686,1485
14-Aug-15,9705,1772
21-Aug-15,9189,1680
28-Aug-15,9438,1488
04-Sep-15,9017,1680
11-Sep-15,8983,1802
18-Sep-15,9215,1375
25-Sep-15,9021,1605
02-Oct-15,8958,1420
09-Oct-15,9137,1620
16-Oct-15,9157,1491
23-Oct-15,9343,1644
30-Oct-15,9184,1542
06-Nov-15,9388,1776
13-Nov-15,9054,1519
20-Nov-15,8921,1560
27-Nov-15,9281,1545
04-Dec-15,9420,1786
11-Dec-15,9220,1613
18-Dec-15,9185,1506
25-Dec-15,9395,1396
01-Jan-16,8159,1700
08-Jan-16,8500,1488
15-Jan-16,9079,1454
22-Jan-16,8941,1894
29-Jan-16,8341,1340
05-Feb-16,9122,1616
12-Feb-16,9203,1537
19-Feb-16,9576,1490
26-Feb-16,9121,1634
04-Mar-16,9411,1581
11-Mar-16,9458,1364
18-Mar-16,9503,1576
25-Mar-16,9244,1496
01-Apr-16,9224,1468
08-Apr-16,9633,1696
15-Apr-16,9444,1571
22-Apr-16,9315,1590
29-Apr-16,9502,1786
06-May-16,9658,1431
13-May-16,9755,1706
20-May-16,9516,1534
27-May-16,9716,1775
03-Jun-16,9568,1367
10-Jun-16,9762,1853
17-Jun-16,9815,1677
24-Jun-16,9709,1878
01-Jul-16,9755,1624
08-Jul-16,9671,1627
15-Jul-16,9785,1729
22-Jul-16,9797,1777
29-Jul-16,9752,1766
05-Aug-16,9769,1688
12-Aug-16,9762,1870
19-Aug-16,9659,1659
26-Aug-16,9511,1846
02-Sep-16,9595,1646
09-Sep-16,9406,1679
16-Sep-16,9650,1690
23-Sep-16,8880,1506
30-Sep-16,9390,1709
07-Oct-16,9264,1664
14-Oct-16,8798,1654
21-Oct-16,9118,1547
28-Oct-16,9183,1789
04-Nov-16,9213,1794
11-Nov-16,9359,1545
18-Nov-16,9024,1919
25-Nov-16,9080,1547
02-Dec-16,8757,1632
09-Dec-16,8874,1628
16-Dec-16,9269,1673
23-Dec-16,9278,1703
30-Dec-16,8465,1457
06-Jan-17,8470,1689
13-Jan-17,8069,1705
20-Jan-17,8039,1460
27-Jan-17,8310,1709
03-Feb-17,8941,1834
10-Feb-17,8433,1173
17-Feb-17,8663,1415
24-Feb-17,8686,1562
03-Mar-17,9268,1610
10-Mar-17,9254,1820
17-Mar-17,9200,1580
24-Mar-17,9524,1733
31-Mar-17,9245,1649
07-Apr-17,9275,1497
14-Apr-17,9223,1807
21-Apr-17,9206,1431
28-Apr-17,9156,1899
05-May-17,9408,1670
12-May-17,9452,1910
19-May-17,9704,1647
26-May-17,9822,1603
02-Jun-17,9317,1557
09-Jun-17,9269,1897
16-Jun-17,9816,2030
23-Jun-17,9538,1568
30-Jun-17,9705,1973
07-Jul-17,9786,1966
14-Jul-17,9592,1735
21-Jul-17,9821,1804
28-Jul-17,9842,1791
04-Aug-17,9797,1765
11-Aug-17,9522,1798
18-Aug-17,9629,1722
25-Aug-17,9846,2011
01-Sep-17,9163,1612
08-Sep-17,9619,1464
15-Sep-17,9441,1817
22-Sep-17,9522,1787
29-Sep-17,9241,1475
06-Oct-17,9480,1792
13-Oct-17,9136,1641
20-Oct-17,9314,1859
27-Oct-17,9461,1628
03-Nov-17,9496,1835
10-Nov-17,9172,1794
17-Nov-17,9595,1630
24-Nov-17,8724,1514
01-Dec-17,8895,1947
08-Dec-17,9091,1598
15-Dec-17,9426,2108
22-Dec-17,9485,1807
29-Dec-17,8650,1898
05-Jan-18,8814,1585
12-Jan-18,8668,1833
19-Jan-18,8697,1631
26-Jan-18,9044,1622
02-Feb-18,9110,1584
09-Feb-18,9059,1580
16-Feb-18,9002,1758
23-Feb-18,8860,1622
02-Mar-18,9276,1853
09-Mar-18,9642,1891
16-Mar-18,9324,1524
23-Mar-18,9208,1812
30-Mar-18,9203,1807
06-Apr-18,9273,1593
13-Apr-18,9857,1827
20-Apr-18,9083,1553
27-Apr-18,9090,1773
04-May-18,9775,1550
11-May-18,9531,1650
18-May-18,9689,1818
25-May-18,9689,1848
01-Jun-18,8976,1685
08-Jun-18,9879,1435
15-Jun-18,9326,1970
22-Jun-18,9731,1702
29-Jun-18,9869,1968
06-Jul-18,9275,1906
13-Jul-18,9708,1724
20-Jul-18,9846,1877
27-Jul-18,9878,1668
03-Aug-18,9346,1986
10-Aug-18,9512,1871
17-Aug-18,9453,1813
24-Aug-18,9899,2006
31-Aug-18,9734,1820
07-Sep-18,9649,1572
14-Sep-18,9534,1851
21-Sep-18,8987,1703
28-Sep-18,9102,1848
05-Oct-18,9078,1583
12-Oct-18,9182,1639
19-Oct-18,9324,1765
26-Oct-18,9262,1677
02-Nov-18,9099,1749
09-Nov-18,9192,1898
16-Nov-18,9185,1725
23-Nov-18,9188,1682
30-Nov-18,8877,1835
07-Dec-18,9036,1650
14-Dec-18,9243,1585
21-Dec-18,9348,1618
28-Dec-18,8623,1631
04-Jan-19,8735,1808
11-Jan-19,8565,1661
18-Jan-19,8868,1507
25-Jan-19,9564,1633
01-Feb-19,9073,1838
08-Feb-19,8648,1518
15-Feb-19,8800,1410
22-Feb-19,8981,1943
01-Mar-19,9062,1697
08-Mar-19,9140,1953
15-Mar-19,9409,1794
22-Mar-19,9124,1656
29-Mar-19,9131,1889
05-Apr-19,9806,1445
12-Apr-19,9420,1674
19-Apr-19,9409,1820
26-Apr-19,9228,1920
03-May-19,9871,1738
10-May-19,9148,1766
17-May-19,9429,1538
24-May-19,9394,2026
31-May-19,9441,1810
07-Jun-19,9877,1780
14-Jun-19,9928,1673
21-Jun-19,9466,1915
28-Jun-19,9492,1862
05-Jul-19,9754,1803
12-Jul-19,9214,1876
19-Jul-19,9673,1837
26-Jul-19,9559,1893
02-Aug-19,9651,1811
09-Aug-19,9932,2017
16-Aug-19,9626,1909
23-Aug-19,9900,1850
30-Aug-19,9471,1879
06-Sep-19,9807,1515
13-Sep-19,8939,1905
20-Sep-19,9346,1500
27-Sep-19,9137,1763
04-Oct-19,9460,1770
11-Oct-19,9354,1613
18-Oct-19,9590,2088
25-Oct-19,9784,1830
01-Nov-19,9145,1811
08-Nov-19,9321,1750
15-Nov-19,9192,1656
22-Nov-19,9204,1876
29-Nov-19,9032,1956
06-Dec-19,8882,1580
13-Dec-19,9411,2056
20-Dec-19,9303,1539
27-Dec-19,8961,1972
03-Jan-20,8133,1611
10-Jan-20,8558,1727
17-Jan-20,8662,1551
24-Jan-20,8793,1670
31-Jan-20,8933,1657
07-Feb-20,8722,1664
14-Feb-20,8918,1383
21-Feb-20,9035,1450
28-Feb-20,9186,1707
06-Mar-20,9449,1565
13-Mar-20,9696,1735
20-Mar-20,8837,1465
27-Mar-20,6659,1335
03-Apr-20,5065,755
10-Apr-20,5081,463
17-Apr-20,5311,612
24-Apr-20,5860,800
01-May-20,6664,515
08-May-20,7398,352
15-May-20,6790,634
22-May-20,7253,860
29-May-20,7549,385
05-Jun-20,7900,713
12-Jun-20,7870,788
19-Jun-20,8608,805
26-Jun-20,8561,588
03-Jul-20,8766,924
10-Jul-20,8648,1269
17-Jul-20,8550,1078
24-Jul-20,8809,1023
31-Jul-20,8617,1010
07-Aug-20,8883,987
14-Aug-20,8630,980
21-Aug-20,9161,1142
28-Aug-20,8786,940
04-Sep-20,8390,864
11-Sep-20,8478,947
18-Sep-20,8515,935
25-Sep-20,8529,858
02-Oct-20,8896,907
09-Oct-20,8576,1172
16-Oct-20,8289,975
23-Oct-20,8545,1014
30-Oct-20,8336,910
06-Nov-20,8762,1329
13-Nov-20,8258,987
20-Nov-20,8129,1169
27-Nov-20,7973,1134
04-Dec-20,7600,1309
11-Dec-20,7975,1149
18-Dec-20,8022,1196
25-Dec-20,8128,1217
01-Jan-21,7441,917
08-Jan-21,7532,1468
15-Jan-21,8112,1087
22-Jan-21,7833,1240
29-Jan-21,7770,750
05-Feb-21,7857,1264
12-Feb-21,8407,1175
19-Feb-21,7207,979
26-Feb-21,8148,1285
05-Mar-21,8726,849
12-Mar-21,8442,1010
19-Mar-21,8616,1037
26-Mar-21,8891,1361
02-Apr-21,8781,1261
09-Apr-21,8944,1358
16-Apr-21,9104,1176
23-Apr-21,8877,1185
30-Apr-21,8864,1084
07-May-21,8800,1282
14-May-21,9224,1186
21-May-21,9479,1399
28-May-21,9146,1441
04-Jun-21,8480,1032
11-Jun-21,9360,1258
18-Jun-21,9440,1584
25-Jun-21,9173,1435
02-Jul-21,10043,1371
09-Jul-21,9283,1557
16-Jul-21,9295,1406
23-Jul-21,9325,1653
30-Jul-21,9775,1643
06-Aug-21,9430,1276
13-Aug-21,9333,1672
20-Aug-21,9572,1399
27-Aug-21,9578,1797
03-Sep-21,9608,1622
10-Sep-21,8892,1376
17-Sep-21,8896,1487
24-Sep-21,9399,1427
01-Oct-21,9427,1694
08-Oct-21,9186,1334
15-Oct-21,9634,1414
22-Oct-21,9323,1452
29-Oct-21,9504,1682
05-Nov-21,9259,1591
12-Nov-21,9241,1385
19-Nov-21,9334,1510
26-Nov-21,8796,1727
03-Dec-21,8963,1220
10-Dec-21,9472,1606
17-Dec-21,8986,1460
24-Dec-21,9724,1590
31-Dec-21,8172,1468
07-Jan-22,7906,1606
14-Jan-22,8224,1513
21-Jan-22,8505,1278
28-Jan-22,8226,1466
04-Feb-22,9126,1404
11-Feb-22,8570,1506
18-Feb-22,8657,1476
25-Feb-22,8743,1470
04-Mar-22,8962,1353
11-Mar-22,8944,1446
18-Mar-22,8637,1737
25-Mar-22,8499,1385
01-Apr-22,8562,1450
08-Apr-22,8736,1603
15-Apr-22,8868,1525
22-Apr-22,8739,1592
29-Apr-22,8856,1440
06-May-22,8702,1441
13-May-22,9027,1625
20-May-22,8798,1532
27-May-22,8977,1716
03-Jun-22,9199,1522
10-Jun-22,9093,1518
17-Jun-22,8505,1695
24-Jun-22,8922,1480
01-Jul-22,9413,1801
